Number of Temperature Reductions,Current Temperature,C,gamma,epsilon,Metric,Best Metric
0,100.0,980806,1e-13,1e-10,202.20573647295987,199.10204214736987
0,100.0,980806,1e-13,1e-13,202.20573647152162,199.10204214736987
0,100.0,980806,1e-13,1e-19,202.2057364715202,199.10204214736987
0,100.0,980806,1e-13,1e-16,202.20573647152017,199.10204214736987
0,100.0,980806,1e-15,1e-16,202.22720357488026,199.10204214736987
0,100.0,889621,1e-15,1e-16,202.22722375316835,199.10204214736987
0,100.0,889621,1e-19,1e-16,202.22742052885175,199.10204214736987
0,100.0,889621,1e-17,1e-16,202.22741838374859,199.10204214736987
0,100.0,889621,0.01,1e-16,172.34045517753947,172.34045517753947
0,100.0,889621,0.01,1e-14,172.20247585891377,172.20247585891377
0,100.0,889621,0.001,1e-14,1219.6194582568846,172.20247585891377
0,100.0,889621,0.01,1e-12,172.14672664123157,172.14672664123157
0,100.0,889621,0.01,1e-16,172.14672664123157,172.14672664123157
0,100.0,889621,0.01,1e-07,172.272312626509,172.14672664123157
0,100.0,889621,0.01,1e-10,172.33108910229922,172.14672664123157
0,100.0,855098,0.01,1e-10,172.33108910229922,172.14672664123157
0,100.0,855098,0.01,1e-16,172.34045517753947,172.14672664123157
0,100.0,965248,0.01,1e-16,172.34045517753947,172.14672664123157
0,100.0,965248,1e-15,1e-16,202.22720703339283,172.14672664123157
0,100.0,965248,1e-16,1e-16,202.22739908953756,172.14672664123157
0,100.0,965248,1e-16,1e-15,202.22739908953753,172.14672664123157
0,100.0,1,1e-16,1e-15,202.22742042715782,172.14672664123157
0,100.0,1,1e-12,1e-15,202.2274202060908,172.14672664123157
0,100.0,1,1e-18,1e-15,202.2274204271797,172.14672664123157
0,100.0,1,1e-16,1e-15,202.2274204271797,172.14672664123157
0,100.0,1,1e-18,1e-09,202.22742044157764,172.14672664123157
0,100.0,1,1e-20,1e-09,202.2274204415779,172.14672664123157
0,100.0,1,1e-16,1e-09,202.22742044155575,172.14672664123157
0,100.0,1,1e-20,1e-09,202.22742044155575,172.14672664123157
0,100.0,301435,1e-16,1e-09,202.2274137739154,172.14672664123157
0,100.0,614083,1e-16,1e-09,202.22740685923677,172.14672664123157
0,100.0,614083,1e-16,1e-10,202.2274068462785,172.14672664123157
0,100.0,998797,1e-16,1e-10,202.22739834369207,172.14672664123157
0,100.0,998797,1e-17,1e-10,202.22741822546888,172.14672664123157
