Number of Temperature Reductions,Current Temperature,C,gamma,epsilon,Metric,Best Metric
0,100.0,888393,1e-10,1e-06,183.07723536047507,183.07723536047507
0,100.0,888393,1e-05,1e-06,3.7223744066955295,3.7223744066955295
0,100.0,888393,1e-12,1e-06,202.03106993395966,3.7223744066955295
0,100.0,1000000,1e-12,1e-06,202.00640794219882,3.7223744066955295
0,100.0,758752,1e-12,1e-06,202.05971885530758,3.7223744066955295
0,100.0,758752,1e-12,1e-10,202.05970446387593,3.7223744066955295
0,100.0,1000000,1e-12,1e-10,202.0063935523923,3.7223744066955295
0,100.0,932246,1e-12,1e-10,202.02136510355697,3.7223744066955295
0,100.0,646413,1e-12,1e-10,202.084531548832,3.7223744066955295
0,100.0,645166,1e-12,1e-10,202.08480716717875,3.7223744066955295
0,100.0,645166,1e-19,1e-10,202.22742047891882,3.7223744066955295
0,100.0,645166,1e-19,1e-07,202.2274219172772,3.7223744066955295
0,100.0,728447,1e-19,1e-07,202.22742191302945,3.7223744066955295
0,100.0,409334,1e-19,1e-07,202.2274218881186,3.7223744066955295
0,100.0,409334,1e-19,0.01,202.3363068700364,3.7223744066955295
0,100.0,954512,1e-19,0.01,202.33630694749246,3.7223744066955295
0,100.0,721551,1e-19,0.01,202.33630689521766,3.7223744066955295
0,100.0,721551,1e-20,0.01,202.33630684903446,3.7223744066955295
0,100.0,721551,1e-20,1e-07,202.22742186715448,3.7223744066955295
0,100.0,685207,1e-20,1e-07,202.22742186715448,3.7223744066955295
0,100.0,685207,1e-20,0.0001,202.22886023551953,3.7223744066955295
0,100.0,685207,1e-20,1e-16,202.2274204273563,3.7223744066955295
0,100.0,685207,1e-20,1e-13,202.22742042735766,3.7223744066955295
0,100.0,685207,1e-19,1e-13,202.22742047105166,3.7223744066955295
0,100.0,685207,1e-19,1e-16,202.22742047105027,3.7223744066955295
0,100.0,685207,0.01,1e-16,172.34045517753947,3.7223744066955295
0,100.0,685207,1e-09,1e-16,105.48480370124358,3.7223744066955295
0,100.0,685207,1e-09,1e-12,105.48480370125385,3.7223744066955295
0,100.0,685207,1e-07,1e-12,12.489565745052596,3.7223744066955295
0,100.0,685207,1e-07,1e-10,12.162376926625406,3.7223744066955295
0,100.0,685207,1e-11,1e-10,200.7154244875669,3.7223744066955295
0,100.0,796864,1e-11,1e-10,200.4695929614511,3.7223744066955295
0,100.0,796864,1e-05,1e-10,9.851175156230294,3.7223744066955295
0,100.0,813944,1e-05,1e-10,9.073938635480502,3.7223744066955295
0,100.0,813944,1e-17,1e-10,202.2274186290341,3.7223744066955295
0,100.0,592650,1e-05,1e-10,36.10168329658852,3.7223744066955295
0,100.0,592650,1e-10,1e-10,189.34317398980642,3.7223744066955295
0,100.0,592650,1e-10,1e-10,189.34317398980642,3.7223744066955295
0,100.0,592650,1e-19,1e-10,202.22742047893288,3.7223744066955295
0,100.0,592650,1e-05,1e-11,36.102978048880026,3.7223744066955295
0,100.0,592650,1e-18,1e-11,202.22742030538112,3.7223744066955295
0,100.0,592650,1e-05,1e-13,36.529167627655006,3.7223744066955295
0,100.0,592650,1e-08,1e-13,11.40441467421156,3.7223744066955295
0,100.0,592650,1e-08,1e-17,11.434206308522333,3.7223744066955295
0,100.0,517714,1e-08,1e-17,11.958767618009047,3.7223744066955295
0,100.0,244139,1e-08,1e-17,28.69424556313687,3.7223744066955295
0,100.0,517714,1e-08,1e-11,11.935352973146173,3.7223744066955295
0,100.0,517714,1e-08,1e-09,11.953935566791207,3.7223744066955295
0,100.0,517714,1e-12,1e-09,202.1129761989097,3.7223744066955295
0,100.0,186499,1e-08,1e-09,42.867400368184626,3.7223744066955295
0,100.0,186499,1e-08,1e-08,42.867399953546546,3.7223744066955295
0,100.0,186499,1e-08,1e-14,42.86740041313896,3.7223744066955295
0,100.0,186499,1e-10,1e-14,198.12577876520427,3.7223744066955295
0,100.0,762854,1e-08,1e-14,10.541972489249204,3.7223744066955295
0,100.0,762854,1e-08,1e-10,10.541972479343343,3.7223744066955295
0,100.0,762854,1e-09,1e-10,99.15568076954693,3.7223744066955295
0,100.0,709484,1e-08,1e-10,11.07658183594431,3.7223744066955295
0,100.0,709484,0.0001,1e-10,678.8685683701863,3.7223744066955295
0,100.0,709484,1e-08,1e-17,11.072184869598127,3.7223744066955295
0,100.0,671100,1e-08,1e-17,11.246169030070428,3.7223744066955295
0,100.0,671100,1e-08,1e-19,11.246169030070428,3.7223744066955295
