Number of Temperature Reductions,Current Temperature,C,gamma,epsilon,Metric,Best Metric
0,150.0,886959,1e-06,1e-12,1.939582303650508,1.939582303650508
0,150.0,886959,1e-19,1e-12,202.22742052886602,1.939582303650508
0,150.0,1000000,1e-06,1e-12,0.5722591399188941,0.5722591399188941
0,150.0,1000000,1e-20,1e-12,202.2274204276053,0.5722591399188941
0,150.0,1000000,1e-06,1e-16,2.9153901226195607,0.5722591399188941
0,150.0,1000000,1e-06,1e-20,2.904222502098068,0.5722591399188941
0,150.0,1000000,1e-10,1e-20,180.7408816241843,0.5722591399188941
0,150.0,1000000,1e-19,1e-20,202.22742052556845,0.5722591399188941
0,150.0,1000000,1e-12,1e-20,202.00639355095322,0.5722591399188941
0,150.0,1000000,1e-12,1e-20,202.00639355095322,0.5722591399188941
0,150.0,1000000,1e-08,1e-20,3.6637862475088503,0.5722591399188941
0,150.0,1000000,1e-12,1e-20,3.6637862475088503,0.5722591399188941
0,150.0,1000000,1e-08,1e-20,3.6637862475088503,0.5722591399188941
0,150.0,1000000,1e-08,1e-20,3.6637862475088503,0.5722591399188941
0,150.0,858102,1e-08,1e-20,7.583564534790848,0.5722591399188941
0,150.0,100000,1e-08,1e-20,69.63132425524415,0.5722591399188941
0,150.0,100000,1e-08,1e-18,69.63132425524415,0.5722591399188941
0,150.0,104702,1e-08,1e-18,67.14624650195299,0.5722591399188941
0,150.0,448017,1e-08,1e-18,14.793132943715845,0.5722591399188941
0,150.0,448017,1e-08,1e-15,14.792955797367028,0.5722591399188941
0,150.0,566727,1e-08,1e-15,11.693993337673984,0.5722591399188941
0,150.0,639782,1e-08,1e-15,10.757286824236026,0.5722591399188941
0,150.0,639782,1e-08,1e-10,10.776133880137651,0.5722591399188941
0,150.0,594186,1e-08,1e-10,11.341992948351333,0.5722591399188941
0,150.0,940445,1e-08,1e-10,5.871418064414674,0.5722591399188941
0,150.0,940445,1e-08,1e-17,5.87129863775214,0.5722591399188941
0,150.0,940445,1e-08,0.01,5.652052997081129,0.5722591399188941
0,150.0,100000,1e-08,0.01,69.05540784850297,0.5722591399188941
0,150.0,940445,1e-08,0.001,5.842223695079347,0.5722591399188941
0,150.0,940445,1e-08,1e-07,5.86345969407755,0.5722591399188941
0,150.0,694421,1e-08,1e-07,9.766400374240755,0.5722591399188941
0,150.0,963234,1e-08,1e-07,5.2762036337075715,0.5722591399188941
0,150.0,1000000,1e-08,1e-07,3.6672464204202315,0.5722591399188941
0,150.0,1000000,1e-11,1e-07,200.02275451772798,0.5722591399188941
0,150.0,1000000,1e-15,1e-07,202.2272007780593,0.5722591399188941
0,150.0,1000000,1e-08,1e-07,202.2272007780593,0.5722591399188941
0,150.0,1000000,0.01,1e-07,172.272312626509,0.5722591399188941
0,150.0,1000000,1e-08,0.001,3.6507470463552942,0.5722591399188941
0,150.0,1000000,1e-11,0.001,200.03708469590424,0.5722591399188941
0,150.0,1000000,1e-08,0.001,200.03708469590424,0.5722591399188941
0,150.0,1000000,1e-08,0.001,200.03708469590424,0.5722591399188941
0,150.0,1000000,1e-20,0.001,202.24181940922418,0.5722591399188941
0,150.0,646118,1e-08,0.001,12.317721964626049,0.5722591399188941
0,150.0,646118,1e-08,1e-09,9.498651319576053,0.5722591399188941
0,150.0,646118,0.01,1e-09,172.20257202546063,0.5722591399188941
0,150.0,985515,1e-08,1e-09,6.823767668417695,0.5722591399188941
0,150.0,985515,1e-14,1e-09,202.22524157982394,0.5722591399188941
0,150.0,985515,1e-08,1e-14,6.823767669617596,0.5722591399188941
0,150.0,985515,1e-20,1e-14,202.22742042759106,0.5722591399188941
0,150.0,1000000,1e-08,1e-14,3.678141252593391,0.5722591399188941
0,150.0,645535,1e-08,1e-14,9.527776869678839,0.5722591399188941
0,150.0,645535,1e-15,1e-14,202.22727771694818,0.5722591399188941
0,150.0,645535,1e-08,1e-07,9.518484307071393,0.5722591399188941
0,150.0,623387,1e-08,1e-07,10.876600849036798,0.5722591399188941
0,150.0,623387,1e-12,1e-07,202.08962198909177,0.5722591399188941
0,150.0,467033,1e-12,1e-07,202.12417953347526,0.5722591399188941
0,150.0,467033,1e-15,1e-07,202.22731861626096,0.5722591399188941
0,150.0,467033,1e-13,1e-07,202.21709641344145,0.5722591399188941
0,150.0,644048,1e-13,1e-07,202.21318292079656,0.5722591399188941
0,150.0,644048,1e-11,1e-07,200.8060834911291,0.5722591399188941
0,150.0,644048,1e-11,1e-10,200.80608205710533,0.5722591399188941
0,150.0,644048,1e-11,1e-05,200.8062256016885,0.5722591399188941
0,150.0,390097,1e-11,1e-05,201.3660492829391,0.5722591399188941
0,150.0,390097,1e-17,1e-05,202.22756354427537,0.5722591399188941
0,150.0,390097,1e-20,1e-05,202.2275644071844,0.5722591399188941
0,150.0,729198,1e-20,1e-05,202.22756440727258,0.5722591399188941
0,150.0,573924,1e-20,1e-05,202.22756440727258,0.5722591399188941
