Date,Open,prev_High,prev_Low,prev_Vol.,prev_Percent_Chg,Close
1/3/2012,555.90,553.30,547.50,1210,0.011700,558.37
1/4/2012,555.20,560.90,548.10,1440,0.009900,550.02
1/5/2012,554.00,559.20,548.70,1320,-0.014954,545.22
1/6/2012,543.30,555.90,543.70,930,-0.008743,544.60
1/9/2012,537.00,540.70,534.30,600,-0.014501,542.12
1/10/2012,541.00,543.90,537.00,680,0.010094,533.59
1/11/2012,537.90,546.50,532.10,1360,-0.015738,536.80
1/12/2012,535.00,540.00,533.40,780,0.006021,538.41
1/13/2012,534.80,539.80,533.40,610,0.002997,531.40
1/16/2012,527.60,531.50,525.10,230,-0.003402,529.28
1/17/2012,532.40,532.40,527.60,650,-0.000587,528.61
1/18/2012,526.00,534.00,526.00,690,-0.001266,522.31
1/19/2012,521.40,528.50,520.40,530,-0.011922,523.29
1/20/2012,525.80,524.20,521.20,280,0.001881,522.31
1/23/2012,523.50,522.70,518.60,160,-0.000211,522.41
1/24/2012,526.50,526.50,519.70,310,0.000409,525.48
1/25/2012,524.10,527.60,524.00,290,0.005883,526.92
1/27/2012,524.10,527.80,523.00,210,0.002734,520.10
1/30/2012,516.80,517.00,515.90,60,-0.007506,516.30
1/31/2012,513.10,517.50,514.60,230,0.000201,514.18
2/1/2012,519.30,515.60,513.10,450,-0.004106,518.72
2/2/2012,520.00,521.80,517.60,990,0.008833,513.10
2/3/2012,513.50,522.40,512.20,870,-0.010848,513.20
2/6/2012,516.40,518.50,514.00,420,0.003895,516.80
2/7/2012,515.50,517.90,515.20,790,0.003097,516.59
2/8/2012,516.80,518.00,514.50,1180,-0.000394,521.71
2/9/2012,523.40,522.40,514.20,2630,0.009913,524.00
2/10/2012,524.50,525.50,521.30,1330,0.004372,521.48
2/13/2012,524.00,523.80,520.60,180,0.001929,523.02
2/14/2012,524.00,524.70,522.40,870,0.001018,526.61
2/15/2012,526.00,527.00,522.10,1880,0.006857,528.60
2/16/2012,526.40,529.70,524.90,930,0.003783,526.38
2/17/2012,529.40,527.90,525.00,650,-0.004202,530.08
2/20/2012,533.60,533.90,529.30,390,0.006629,533.60
2/21/2012,535.00,533.60,533.60,1110,0.000003,537.98
2/22/2012,539.40,538.80,533.90,930,0.008200,538.48
2/23/2012,537.10,541.70,537.80,730,0.000946,540.38
2/24/2012,537.00,542.70,535.00,930,0.003529,539.91
