Date,Price,Open,High,Low,Vol.,Change %
"Jul 15, 2022","3,632.00","3,632.00","3,632.00","3,632.00",0.00K,-0.30%
"Jul 14, 2022","3,643.00","3,850.00","3,850.00","3,850.00",0.00K,-5.38%
"Jul 13, 2022","3,850.00","4,100.00","4,100.00","3,850.00",0.12K,-6.58%
"Jul 12, 2022","4,121.00","4,120.00","4,120.00","4,120.00",0.01K,-0.39%
"Jul 08, 2022","4,137.00","4,340.00","4,340.00","4,137.00",0.09K,0.19%
"Jul 07, 2022","4,129.00","3,946.00","3,946.00","3,946.00",0.01K,1.37%
"Jul 06, 2022","4,073.00","3,900.00","3,965.00","3,850.00",0.53K,-3.00%
"Jul 05, 2022","4,199.00","4,497.00","4,497.00","4,197.00",0.46K,-5.85%
"Jul 04, 2022","4,460.00","4,812.00","4,812.00","4,401.00",0.82K,-8.72%
"Jul 01, 2022","4,886.00","5,001.00","5,001.00","4,737.00",1.33K,-3.97%
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
