Date,Open,Close,High,Low,Volume (K),Percentage Change
"Apr 01, 2013",460.10,456.20,460.10,455.50,2.42,0.15
"Apr 01, 2014",571.10,573.50,574.40,566.00,2.38,0.68
"Apr 01, 2015",435.20,438.40,440.00,432.60,2.19,0.94
"Apr 01, 2016",549.00,552.90,554.10,548.20,3.05,3.99
"Apr 01, 2019",525.90,526.70,529.00,525.50,0.63,1.96
"Apr 01, 2020",658.10,645.10,659.90,641.40,1.44,-5.41
"Apr 01, 2021",1081.00,1090.30,1101.40,1081.00,3.31,-3.72
"Apr 02, 2012",607.10,609.30,615.90,606.10,2.76,2.99
"Apr 02, 2013",458.20,460.30,461.00,457.70,2.37,0.9
"Apr 02, 2014",575.00,566.40,585.00,564.10,3.23,-1.24
"Apr 02, 2015",436.80,436.10,437.50,434.30,0.43,-0.52
"Apr 02, 2018",656.10,653.10,659.60,652.00,1.73,0.2
"Apr 02, 2019",529.40,533.60,535.60,529.40,1.82,1.31
"Apr 03, 2012",611.60,608.00,614.30,607.00,1.96,-0.21
"Apr 03, 2013",460.00,461.70,462.80,458.80,3.02,0.3
"Apr 03, 2014",567.40,574.20,574.90,564.90,4.83,1.38
"Apr 03, 2017",513.00,517.50,518.90,513.00,1.75,-3.97
"Apr 03, 2018",653.10,655.30,655.90,649.70,1.21,0.34
"Apr 03, 2019",536.00,533.50,539.10,533.00,1.07,-0.02
"Apr 03, 2020",636.70,627.80,637.10,620.50,1.74,-2.68
"Apr 04, 2012",610.40,614.20,615.00,610.40,2.78,1.02
"Apr 04, 2013",459.70,465.10,465.90,459.20,2.58,0.74
"Apr 04, 2014",574.90,568.50,574.90,567.80,0.98,-0.99
"Apr 04, 2016",552.50,560.50,561.90,551.50,2.77,1.37
"Apr 04, 2017",516.00,519.70,520.80,515.50,0.80,0.43
"Apr 04, 2018",654.10,652.90,654.10,648.20,1.39,-0.37
"Apr 04, 2019",535.00,540.90,541.20,534.30,1.26,1.39
"Apr 05, 2012",614.20,614.20,614.20,614.20,-,0
"Apr 05, 2013",464.50,462.00,464.60,461.60,1.63,-0.67
"Apr 05, 2014",568.00,568.00,568.00,568.00,-,-0.09
"Apr 05, 2016",562.00,555.40,565.90,554.40,4.25,-0.91
"Apr 05, 2017",524.00,523.80,527.40,523.50,2.15,0.79
"Apr 05, 2018",654.20,655.30,658.00,652.50,1.53,0.37
"Apr 05, 2019",540.50,548.30,549.50,540.20,1.75,1.37
"Apr 05, 2021",1097.00,1118.20,1123.00,1097.00,2.70,2.56
"Apr 06, 2013",462.00,463.10,464.70,461.10,0.45,0.24
"Apr 06, 2015",438.40,445.20,447.00,438.40,2.04,2.09
"Apr 06, 2016",553.00,561.90,563.00,548.00,3.14,1.17
"Apr 06, 2017",524.00,523.50,525.90,522.60,1.30,-0.06
"Apr 06, 2018",654.00,654.80,656.90,652.60,1.48,-0.08
"Apr 06, 2021",1123.50,1147.10,1151.00,1115.00,3.14,2.58
"Apr 07, 2012",615.00,620.60,622.20,614.90,1.11,1.04
"Apr 07, 2014",567.00,565.60,567.80,564.20,0.99,-0.42
"Apr 07, 2015",445.10,441.80,445.80,441.20,1.07,-0.76
"Apr 07, 2016",563.40,561.30,565.50,557.90,2.50,-0.11
"Apr 07, 2017",521.90,521.70,524.40,515.90,2.51,-0.34
"Apr 07, 2020",635.00,650.20,651.20,635.00,2.37,3.57
"Apr 07, 2021",1150.00,1134.10,1151.50,1131.00,1.83,-1.13
"Apr 08, 2013",465.50,467.50,468.40,464.50,2.02,0.95
"Apr 08, 2014",560.60,563.40,564.20,558.60,0.70,-0.39
"Apr 08, 2015",440.10,438.60,442.80,438.00,1.06,-0.72
"Apr 08, 2016",562.00,558.40,563.00,553.60,3.71,-0.52
"Apr 08, 2019",549.00,543.80,554.80,542.20,1.53,-0.82
"Apr 08, 2020",655.10,660.50,666.00,655.00,1.55,1.58
"Apr 08, 2021",1129.90,1140.60,1149.60,1129.10,1.91,0.57
"Apr 09, 2012",623.50,620.40,624.60,618.40,1.74,-0.03
"Apr 09, 2013",468.50,465.60,468.80,464.50,1.21,-0.41
"Apr 09, 2014",564.10,561.40,564.50,557.00,2.14,-0.35
"Apr 09, 2015",437.00,435.20,437.00,433.10,1.52,-0.78
