Date,Open,prev_High,prev_Low,prev_Close
04/01/2012,7690.00,7552.00,7394.00,7536.00
05/01/2012,7668.00,7700.00,7690.00,7698.00
06/01/2012,7602.00,7668.00,7668.00,7668.00
09/01/2012,7640.00,7638.00,7602.00,7632.00
10/01/2012,7688.00,7650.00,7640.00,7644.00
11/01/2012,7634.00,7690.00,7688.00,7634.00
12/01/2012,7634.00,7634.00,7634.00,7634.00
13/01/2012,7634.00,7634.00,7634.00,7634.00
16/01/2012,7350.00,7634.00,7634.00,7634.00
17/01/2012,7640.00,7350.00,7350.00,7350.00
18/01/2012,7284.00,7640.00,7640.00,7640.00
19/01/2012,7284.00,7288.00,7284.00,7284.00
20/01/2012,7198.00,7284.00,7284.00,7284.00
30/01/2012,7008.00,7198.00,6844.00,6922.00
31/01/2012,7278.00,7008.00,6990.00,6998.00
01/02/2012,6858.00,7278.00,6650.00,6858.00
02/02/2012,6858.00,6858.00,6858.00,6858.00
03/02/2012,6858.00,6858.00,6858.00,6858.00
06/02/2012,6998.00,6858.00,6858.00,6858.00
07/02/2012,6998.00,7000.00,6998.00,6998.00
08/02/2012,6998.00,6998.00,6998.00,6998.00
09/02/2012,6998.00,6998.00,6998.00,6998.00
10/02/2012,6998.00,6998.00,6998.00,6998.00
13/02/2012,6998.00,6998.00,6998.00,6998.00
14/02/2012,6998.00,6998.00,6998.00,6998.00
15/02/2012,7600.00,6998.00,6998.00,6998.00
16/02/2012,7576.00,8060.00,7308.00,7576.00
17/02/2012,7202.00,7576.00,7576.00,7576.00
20/02/2012,7200.00,7202.00,7198.00,7198.00
21/02/2012,7200.00,7200.00,7200.00,7200.00
22/02/2012,7200.00,7200.00,7200.00,7200.00
23/02/2012,7200.00,7200.00,7200.00,7200.00
24/02/2012,7200.00,7200.00,7200.00,7200.00
27/02/2012,7200.00,7200.00,7200.00,7200.00
28/02/2012,7200.00,7200.00,7200.00,7200.00
29/02/2012,7200.00,7200.00,7200.00,7200.00
01/03/2012,7200.00,7200.00,7200.00,7200.00
02/03/2012,7200.00,7200.00,7200.00,7200.00
05/03/2012,7200.00,7200.00,7200.00,7200.00
06/03/2012,7200.00,7200.00,7200.00,7200.00
07/03/2012,7200.00,7200.00,7200.00,7200.00
08/03/2012,7200.00,7200.00,7200.00,7200.00
09/03/2012,7200.00,7200.00,7200.00,7200.00
12/03/2012,7200.00,7200.00,7200.00,7200.00
13/03/2012,7200.00,7200.00,7200.00,7200.00
14/03/2012,7200.00,7200.00,7200.00,7200.00
15/03/2012,7818.00,7200.00,7200.00,7200.00
16/03/2012,7818.00,7818.00,7818.00,7818.00
19/03/2012,7818.00,7818.00,7818.00,7818.00
20/03/2012,7818.00,7818.00,7818.00,7818.00
21/03/2012,7818.00,7818.00,7818.00,7818.00
22/03/2012,7818.00,7818.00,7818.00,7818.00
23/03/2012,7818.00,7818.00,7818.00,7818.00
26/03/2012,7818.00,7818.00,7818.00,7818.00
27/03/2012,7818.00,7818.00,7818.00,7818.00
28/03/2012,7818.00,7818.00,7818.00,7818.00
29/03/2012,7818.00,7818.00,7818.00,7818.00
30/03/2012,7818.00,7818.00,7818.00,7818.00
05/04/2012,7818.00,7818.00,7818.00,7818.00
06/04/2012,7818.00,7818.00,7818.00,7818.00
09/04/2012,7818.00,7818.00,7818.00,7818.00
10/04/2012,7818.00,7818.00,7818.00,7818.00
11/04/2012,7818.00,7818.00,7818.00,7818.00
12/04/2012,7818.00,7818.00,7818.00,7818.00
13/04/2012,7818.00,7818.00,7818.00,7818.00
16/04/2012,7818.00,7818.00,7818.00,7818.00
17/04/2012,7818.00,7818.00,7818.00,7818.00
18/04/2012,7818.00,7818.00,7818.00,7818.00
19/04/2012,8514.00,7818.00,7818.00,7818.00
20/04/2012,8542.00,8548.00,8514.00,8542.00
23/04/2012,8560.00,8550.00,8512.00,8522.00
24/04/2012,8584.00,8602.00,8560.00,8588.00
25/04/2012,8550.00,8584.00,8510.00,8550.00
