Date,Price,Open,High,Low,Vol.,Change %
2022/7/1,"4886.00","5001.00","5001.00","4737.00",1330,-3.97
2022/7/4,"4460.00","4812.00","4812.00","4401.00",820,-8.72
2022/7/5,"4199.00","4497.00","4497.00","4197.00",460,-5.85
2022/7/6,"4073.00","3900.00","3965.00","3850.00",530,-3.00
2022/7/7,"4129.00","3946.00","3946.00","3946.00",10,1.37
2022/7/8,"4137.00","4340.00","4340.00","4137.00",90,0.19
2022/7/12,"4121.00","4120.00","4120.00","4120.00",100,-0.39
2022/7/13,"3850.00","4100.00","4100.00","3850.00",1200,-6.58
2022/7/14,"3643.00","3850.00","3850.00","3850.00",0,-5.38
2022/7/15,"3632.00","3632.00","3632.00","3632.00",0,-0.30
